,segmentId,frc,speedLimit,streetName,distance,timeSet,dateRange,probeCount
26370,13600003822008,1,40,Jalan Perintis Kemerdekaan,8.61,2,1,44778
26371,13600001763429,3,50,Jalan Veteran 3,16.26,2,1,9965
26372,13600077746314,1,80,Jalan Insinyur Haji Juanda,38.9,2,1,44153
26373,13600001670859,5,50,Jalan Letnan Jenderal Suprapto,22.29,2,1,7186
26374,13600001305197,5,50,Jalan Kodam Raya,30.13,2,1,3696
26375,13600002105733,1,40,Jalan Perintis Kemerdekaan,8.78,2,1,44040
26376,13600002113140,1,80,Jalan Insinyur Haji Juanda,12.22,2,1,3159
26377,13600001113222,1,80,Jalan Insinyur Haji Juanda,23.66,2,1,30988
26378,13600001439730,4,50,Jalan Perintis Kemerdekaan,14.73,2,1,971
26379,13600001763427,3,50,Jalan Veteran 3,10.73,2,1,10074
26380,13600077746316,1,80,Jalan Insinyur Haji Juanda,66.95,2,1,30544
26381,13600002113138,1,80,Jalan Insinyur Haji Juanda,16.84,2,1,3175
26382,13600001997556,5,50,Jalan Kepu Timur,59.92,2,1,1155
26383,13600001339471,1,80,Jalan Hayam Wuruk,13.31,2,1,14039
26384,13600001512735,3,40,Jalan Letnan Jenderal Suprapto,90.0,2,1,33028
26385,13600001515016,1,80,Jalan Hayam Wuruk,11.87,2,1,14108
26386,13600002113141,1,80,Jalan Insinyur Haji Juanda,9.34,2,1,3194
26387,13600003074940,5,50,Jalan Kepu Timur,12.55,2,1,1177
26388,13600002113139,1,80,Jalan Insinyur Haji Juanda,7.61,2,1,3194
26389,13600001316519,1,80,Jalan Veteran,8.92,2,1,33163
26390,13600001570993,3,50,Jalan Utan Panjang Timur,61.96,2,1,19659
26391,13600001511153,1,80,Jalan Veteran,36.16,2,1,17800
26392,13600002090147,1,80,Jalan Hayam Wuruk,9.28,2,1,14195
26393,13600002408622,3,50,Jalan Veteran 3,48.85,2,1,7752
26394,13600002063613,3,50,Jalan Cideng Timur,35.84,2,1,15000
26395,13600001021017,3,40,Jalan Letnan Jenderal Suprapto,11.51,2,1,4114
26396,13600001515320,4,50,Jalan Bungur Besar,41.62,2,1,15907
26397,13600001511151,1,80,Jalan Suryo Pranoto,10.21,2,1,19039
26398,13600001131194,1,80,Jalan Insinyur Haji Juanda,95.46,2,1,30748
26399,13600001105986,1,50,Jalan Gajah Mada,21.45,2,1,34578
26400,13600001480251,4,50,Jalan Bungur Besar,12.69,2,1,16115
26401,13600001516068,1,80,Jalan Insinyur Haji Juanda,21.22,2,1,36001
26402,13600001108335,4,50,Jalan Gunung Sahari 3,14.34,2,1,6552
26403,13600001445969,1,80,Jalan Veteran,48.15,2,1,37648
26404,13600001105372,4,50,Jalan Budi Utomo,165.67,2,1,15567
26405,13600001470566,1,80,Jalan Suryo Pranoto,41.06,2,1,16569
26406,13600001324772,1,50,Jalan Gedung Kesenian,155.36,2,1,23372
